Experiment No.,Time [h],Xv [10ˆ6 Cells/mL],GLC [mM],GLN[mM],NH4 [mM],LAC [mM],Titer [mg/L],pH,T [º C],Feed - GLC [mM],Feed - GLN [mM]
2,0,0.4,20,8,0.1,0.1,0,7.1,36,0,0
2,24,0.953393057,17.53989263,6.769360908,2.88961611,4.587876232,4.177203578,7.1,36,0,0
2,48,1.786357428,9.315829604,5.623043358,4.010230228,15.08101606,35.9123737,7.1,36,0,0
2,72,1.991315519,1.101207299,2.737110536,6.051084153,17.55048398,52.76404566,7.1,36,30,1
2,96,3.897274402,17.60589106,2.633380939,7.972447956,43.17069022,118.1144013,7.1,36,30,1
2,120,4.04047034,38.70162808,1.74643146,4.788181221,55.41216284,171.8924492,7.1,36,30,1
2,144,3.69552107,49.94143001,1.760782839,8.135444464,63.21757113,290.9429671,7.1,37,30,1
2,168,3.945214055,76.67998671,1.028850331,10.54217429,78.8947077,366.1278289,7.1,37,30,1
2,192,4.182197209,63.48110779,0.475635763,8.388010768,95.48154197,695.8506358,7.1,37,0,0
2,216,3.642934587,94.22324499,0,8.653760269,118.4739995,527.5460262,7.1,37,0,0
2,240,3.276998659,67.30138296,0,5.57515813,84.49473744,511.7791929,7.1,37,0,0
2,264,2.643567158,63.80723562,0.025870851,9.154886918,128.9686282,659.0336573,7.1,37,0,0
2,288,1.878379124,48.05081493,0.024557075,7.604557139,98.07923596,680.2341849,7.1,37,0,0
2,312,1.590672688,57.80995018,0,8.012495929,124.9873146,486.7193346,7.1,37,0,0
2,336,1.204328394,53.77609176,0.094300881,9.731843917,150.5680489,524.7234391,6.7,37,0,0
3,0,0.4,20,8,0.1,0.1,0,7.1,37.5,0,0
3,24,1.914411514,8.348974734,6.624637015,2.6656769,10.94516154,11.75936399,7.1,37.5,0,0
3,48,3.033244089,0,4.833597026,4.551338465,15.4875379,12.3264353,7.1,37.5,0,0
3,72,2.429068744,0.672541016,2.48363792,4.265089072,22.06859352,22.23273091,7.1,37.5,30,1
3,96,4.003604838,16.89276261,1.758298132,6.027805259,41.82487262,92.79056088,7.1,37.5,30,1
3,120,5.821906033,30.65137862,0.839011051,7.842371083,56.82406694,157.8732279,7.1,37.5,30,1
3,144,6.183043066,47.62321339,0.180844084,8.519347448,79.43067568,201.6578517,6.7,37.5,30,1
3,168,5.095282173,55.58764877,0.851301405,7.584006189,83.04894363,411.9689805,6.7,37.5,30,1
3,192,4.591090246,94.28421361,1.129813708,7.401461853,113.7791852,462.5327444,6.7,37.5,0,0
3,216,3.885601825,71.48783479,0.962324604,7.980631372,93.7499924,896.0621461,6.7,37.5,0,0
3,240,3.349756749,44.16583357,0.651913888,8.572011663,91.1668728,628.1295186,6.7,37.5,0,0
3,264,3.78331399,58.79484295,0.400643614,8.850957225,133.5593182,805.1067859,6.7,37.5,0,0
3,288,2.806474357,56.36130966,0.560628761,8.270660353,115.0294591,907.3432035,6.7,37.5,0,0
3,312,3.102990108,47.60690939,0.523856232,5.734535,104.1299471,1058.702205,6.7,37.5,0,0
3,336,2.180569886,53.58393861,0.221571976,7.77523318,132.1113443,1045.901902,6.7,35,0,0
4,0,0.2,20,8,0.1,0.1,0,7.1,37.5,0,0
4,24,0.48563651,16.82858445,6.648582382,1.907007781,3.981973171,0.783368486,7.1,37.5,0,0
4,48,1.470945527,6.196576837,4.850340712,3.530424696,10.57533191,10.9087878,7.1,37.5,0,0
4,72,2.234322846,0.261414833,2.239082579,3.812342202,22.91922504,35.63236608,7.1,37.5,30,1
4,96,4.404896094,14.40259951,1.694039623,5.749605774,34.76031555,93.81548988,7.1,37.5,30,1
4,120,4.952948894,31.56785957,0.463459726,7.961788863,51.77827842,169.069769,7.1,37.5,30,1
4,144,5.638315379,35.82963289,0,8.571022643,72.19393838,280.5377746,7.1,37.5,30,1
4,168,4.904156107,62.85627327,0.04852378,7.718048513,96.58308685,268.0711247,7.1,37.5,30,1
4,192,5.515848101,73.09968613,0,9.179858035,84.87910229,413.7867214,7.1,37.5,30,1
4,216,4.060728024,94.12251194,0.072908752,7.132355917,120.6002692,557.4729604,7.1,37.5,30,1
4,240,3.979884068,124.2743006,0.225021415,7.187087663,90.86253158,589.9646738,7.1,37.5,30,1
4,264,3.864663746,132.8589112,0.717671154,7.387987677,171.1617976,828.591255,7.1,37.5,30,1
4,288,3.449707636,174.2859812,0.52588545,11.1931278,149.5314794,723.6808126,7.1,37.5,30,1
4,312,2.201003269,133.4766825,0.87476401,7.624015362,161.4948211,892.5759197,7.1,37.5,0,0
4,336,2.459709303,203.7284697,0.317223039,11.58727563,150.5207938,842.6341882,6.7,37,0,0
6,0,0.4,20,8,0.1,0.1,0,6.9,37.5,0,0
6,24,0.947631609,18.3679005,5.394055902,2.082250911,7.708219585,0,6.9,37.5,0,0
6,48,2.005959638,7.016092585,4.509349055,1.857638122,10.59586209,36.47835004,6.9,37.5,0,0
6,72,2.358265333,0,2.965750403,3.922347439,26.20606353,49.48878759,6.9,37.5,30,6
6,96,4.43924284,18.17501602,5.837723988,5.294104169,35.79262111,192.8217884,6.9,37.5,30,6
6,120,4.406478862,31.78570102,8.352106158,10.33917372,52.12959113,243.3457942,6.9,37.5,30,6
6,144,4.564266473,57.94729437,12.34385249,12.00374861,54.29939312,381.1264245,7,37.5,30,6
6,168,4.86763152,62.98290421,16.30465573,15.1623099,86.08260406,444.4213304,7,37.5,30,6
6,192,4.015401163,86.8626184,16.48368205,12.75051817,91.24154042,605.5225317,7,37.5,30,6
6,216,3.20679733,100.5355769,20.75533316,20.81269766,120.085505,761.8852674,7,37.5,30,6
6,240,2.920843487,133.8416553,16.26265853,23.11562047,128.7455821,705.2104767,7,37.5,30,6
6,264,1.779840391,191.028489,20.22718094,33.04436051,128.6898475,698.2246051,7,37.5,30,6
6,288,1.811332104,189.0303958,24.06962593,32.96599631,135.3578139,1035.600344,7,37.5,30,6
6,312,1.248272381,234.9233061,20.75410669,39.56541778,115.1007278,772.6763426,7,37.5,0,0
6,336,1.102109484,206.3428842,21.5644755,46.62000367,105.1283823,826.4125337,7,35,0,0
7,0,0.4,60,8,0.1,0.1,0,7.1,37.5,0,0
7,24,1.865338123,53.44826579,5.918767594,1.946368099,6.153329398,17.12975753,7.1,37.5,5,1
7,48,3.010336743,44.98098927,4.84936703,3.166758707,26.86876035,52.24111435,7.1,37.5,5,1
7,72,4.33818823,36.49885103,2.413824823,5.031291315,41.50169453,97.20866017,7.1,37.5,5,1
7,96,4.707265235,18.116959,1.297207284,8.319660786,68.58458557,224.8962783,7.1,37.5,5,1
7,120,6.171305743,11.37894377,0.448498376,8.739028605,96.4885227,330.2823765,7.1,37.5,5,1
7,144,8.010914562,0.226301863,0,9.570000581,99.94844041,490.8534017,7.1,35,5,1
7,168,5.32085879,0.198179727,0.61948505,8.029800546,114.8354268,638.188478,7.1,35,5,1
7,192,3.953130686,0,1.070907926,9.378499552,133.4638421,737.6301369,7.1,35,0,0
7,216,3.163803994,0,0.634459543,7.448947784,126.4074072,858.9804527,7.1,35,0,0
7,240,3.014699631,0.524465726,0.303048096,8.397996122,145.1822214,692.5119617,7.1,35,0,0
7,264,2.895315614,0.955044386,0.739022272,7.329801833,88.19447633,674.5195065,7.1,35,0,0
7,288,1.921536067,0,0.358841341,7.416395392,129.273511,589.1375973,7.1,35,0,0
7,312,1.82944913,0.006610462,0.320102514,9.918429804,110.2152845,539.0509187,7.1,35,0,0
7,336,2.024730772,0,0.188215608,9.487614529,101.7304412,610.0596214,6.7,35,0,0
10,0,0.2,60,8,0.1,0.1,0,7.1,36,0,0
10,24,0.573695652,44.09290492,4.502637101,1.1215196,3.829923549,0,7.1,36,0,0
10,48,1.256992732,44.44788589,4.879749547,3.186656057,8.069886786,23.19485085,7.1,36,0,0
10,72,1.618090751,31.33504385,2.873772841,3.374682752,18.15458818,48.88858094,7.1,36,30,6
10,96,2.603679646,59.7012781,6.842763744,4.837882542,35.33497408,120.3050682,7.1,36,30,6
10,120,2.800036156,64.93975058,9.249791341,8.634404396,39.05597372,168.6155224,7.1,36,30,6
10,144,3.604971711,78.31410471,10.81516806,10.24470148,48.98798449,224.4248023,6.7,37,30,6
10,168,4.154586044,111.5296891,11.87650115,11.80340023,61.33850152,353.9939486,6.7,37,30,6
10,192,2.583599833,168.7119268,14.31840244,20.10379565,73.38113635,506.5304565,6.7,37,30,6
10,216,3.798370608,128.3121047,12.70863358,13.47305767,68.9139236,726.1497806,6.7,37,30,6
10,240,2.409387297,218.0730877,24.26142277,23.93949859,89.05779771,637.252662,6.7,37,30,6
10,264,2.478987526,207.8247694,26.44425652,24.52295476,94.56574821,689.5210481,6.7,37,30,6
10,288,1.299737517,242.9365732,25.97291889,33.76480103,103.9354068,843.4866915,6.7,37,30,6
10,312,1.30897913,281.5087104,22.06508499,45.90181715,103.4468784,690.9533643,6.7,37,0,0
10,336,1.130813118,287.7687649,24.56913709,40.02930027,108.7738138,973.2593226,6.7,37,0,0
11,0,0.4,20,8,0.1,0.1,0,6.9,37.5,0,0
11,24,1.167755607,11.21644396,5.51334107,1.299543903,7.568010949,0.316636704,6.9,37.5,5,1
11,48,2.221420292,8.680868018,3.115024196,3.825043587,19.07531587,35.54566913,6.9,37.5,5,1
11,72,3.72211624,0.461514062,2.629736014,4.338786637,35.87668729,104.1349794,6.9,37.5,5,1
11,96,3.911043293,0.527538915,1.74588853,5.094804859,34.78107088,165.6634533,6.9,37.5,5,1
11,120,3.509601546,0.34406951,2.14823443,5.236478556,36.00388993,177.1820892,6.9,37.5,5,1
11,144,3.60251716,0,2.003267026,7.272318223,47.8363035,239.8931541,6.9,35,5,1
11,168,4.401519842,0,2.163927028,4.854207356,69.89624543,306.9246802,6.9,35,5,1
11,192,3.114904972,0.368481933,1.86743936,8.977440242,72.89980055,451.8418288,6.9,35,5,1
11,216,3.77179005,0,2.651045485,7.628751152,79.20058481,450.5307412,6.9,35,5,1
11,240,3.610182144,0.559611008,2.508804446,9.169979005,56.83483367,485.5479627,6.9,35,5,1
11,264,3.487429515,0,2.482276164,7.077548779,95.74485966,520.7913476,6.9,35,5,1
11,288,3.478327291,0,2.807862103,8.938315373,84.73163364,742.1234285,6.9,35,5,1
11,312,2.848087192,0,2.956779839,10.49713412,126.8739218,686.6389099,6.9,35,0,0
11,336,2.656398299,1.412943271,2.425845723,11.42654174,91.80855433,756.1229969,7,35,0,0
12,0,0.2,20,8,0.1,0.1,0,7.1,36,0,0
12,24,0.228063712,25.55312514,6.247002823,2.159142866,0.209520492,0,7.1,36,5,6
12,48,0.330099521,24.58439257,9.179715906,2.608292441,3.522517045,4.152870443,7.1,36,5,6
12,72,0.604954332,27.28622341,15.11657811,6.514636109,5.384318285,0,7.1,36,5,6
12,96,1.118909916,29.41114503,22.39795651,9.502972799,9.408002745,39.29269966,7.1,36,5,6
12,120,1.116388164,25.32927328,19.42555003,12.86747908,13.91587785,69.28046268,7.1,36,5,6
12,144,1.358574238,30.69015264,21.08221137,17.35392922,15.89042408,38.9415916,7,36,5,6
12,168,1.36368549,30.95867129,21.12452748,17.67439332,17.26718533,132.6165886,7,36,5,6
12,192,1.169662041,27.57943067,25.50953298,27.80018917,26.90742743,168.4747747,7,36,5,6
12,216,1.281190493,37.34400211,22.63113491,29.00066828,25.89660336,159.9665302,7,36,5,6
12,240,1.816747725,42.38608192,25.52278584,27.77985748,28.93620499,248.2005224,7,36,5,6
12,264,1.249473204,35.74202744,15.46854799,40.32511978,35.44278097,258.9529508,7,36,5,6
12,288,1.246058905,39.30270575,27.94917876,41.91585293,55.81976202,397.6947734,7,36,5,6
12,312,1.192777824,51.99854381,25.60698421,64.3310507,50.24151896,354.4194829,7,36,0,0
12,336,0.805867681,44.4540461,18.60276651,51.2983081,26.26069694,388.2598246,7,37,0,0
13,0,0.4,20,3,0.1,0.1,0,6.9,37.5,0,0
13,24,0.986547497,11.96947463,1.489562456,1.313463466,6.457582913,0,6.9,37.5,30,1
13,48,3.368596904,34.10391005,1.145469292,2.645981435,21.19350639,26.11576571,6.9,37.5,30,1
13,72,3.804626337,55.39882341,0.073955983,3.252182215,37.65737943,78.44007574,6.9,37.5,30,1
13,96,3.906410483,54.56657046,0.049589047,5.312732383,48.46177158,153.9835889,6.9,37.5,30,1
13,120,4.852221568,86.39024736,0,5.067294793,50.36409878,201.6065274,6.9,37.5,30,1
13,144,4.125302266,107.1819582,0.057762896,5.150124912,88.6265374,245.9064769,7,37.5,30,1
13,168,4.338442355,110.7628239,0,4.217463937,92.10605798,345.7960371,7,37.5,30,1
13,192,4.695834566,138.4360744,0,3.459232184,111.1702897,441.7592881,7,37.5,30,1
